# p2_filt_x, p2_filt_y, p2_smoothed_x, p2_smoothed_y
1.830448439961843121e+01, 1.955689625773994678e+01, 7.961341489769600877e+00, 8.562795028647435913e+00
1.826626264147045831e+01, 1.951674465155258176e+01, 7.949742742984435395e+00, 8.569154867381662655e+00
1.820751119490227765e+01, 1.946805017265539917e+01, 7.959607550025271649e+00, 8.581591385794160587e+00
1.815491122068660701e+01, 1.942056844045399089e+01, 7.937851887630787751e+00, 8.578595216573418725e+00
1.811399135517325476e+01, 1.938099573138552856e+01, 7.925310064758900985e+00, 8.577231985743281939e+00
1.806522543421765903e+01, 1.933794916261778951e+01, 7.929708483892170534e+00, 8.587678752589184228e+00
1.803194042924752338e+01, 1.929580757001029312e+01, 7.921625777501192012e+00, 8.591773317256901521e+00
1.799820480867916928e+01, 1.925703334130562894e+01, 7.938048643051664577e+00, 8.600814733178284044e+00
1.795854533946903331e+01, 1.921878577376612185e+01, 7.953255135169318812e+00, 8.612961988759215259e+00
1.790433556974135954e+01, 1.917440706697033548e+01, 7.958615483997938611e+00, 8.624226318546531544e+00
1.785830895407079666e+01, 1.913397136859297021e+01, 7.941427659206699019e+00, 8.624570140087696402e+00
1.781276245529291558e+01, 1.909338215704924124e+01, 7.935955274156808237e+00, 8.630729686037769355e+00
1.775647050639006963e+01, 1.904769814262959926e+01, 7.930963023658843092e+00, 8.636252722121641412e+00
1.769550668218984413e+01, 1.899862134009217129e+01, 7.908828077053123629e+00, 8.632690552654436189e+00
1.765433729966487419e+01, 1.896087438684371307e+01, 7.878805529076336356e+00, 8.623045544058305367e+00
1.761174267490287448e+01, 1.892226147129886371e+01, 7.877989492697471618e+00, 8.631029540580595238e+00
1.757882490827879352e+01, 1.888670562535671849e+01, 7.874797736439392182e+00, 8.637116653420074286e+00
1.753992545328620523e+01, 1.885137174981503350e+01, 7.886676475392502716e+00, 8.649804037257505129e+00
1.750532761700229045e+01, 1.881593094457685567e+01, 7.886054419896069589e+00, 8.662444884069993023e+00
1.742702945281982707e+01, 1.875279537513671357e+01, 7.894895106773419435e+00, 8.673733062700222263e+00
1.739112516852202717e+01, 1.871773425291283388e+01, 7.837786540901365839e+00, 8.641202840206744895e+00
1.734752500630919059e+01, 1.867859841500222728e+01, 7.842685259566335887e+00, 8.651063588135698978e+00
1.730564227305580971e+01, 1.864173727386659252e+01, 7.835589510433166538e+00, 8.653398147231634141e+00
1.727105614614701778e+01, 1.860796591506384345e+01, 7.829730643869813100e+00, 8.658473643419211996e+00
1.722855488716619732e+01, 1.857131970082994243e+01, 7.834826538642832183e+00, 8.669689304377149242e+00
